Response ID,Age Group,Gender,Industry,Years of Experience,Current Work Arrangement,Have you ever experienced working from home?,Do you think that working from home increases your work productivity?,Do you think that working from home prevents you from going out?,Do you think that working from home gives you more flexibility?,Do you think that working from home saves you more time?,"Which work type has the potential to cause you physical problems, such as the neck, back, and leg pain?","Which work type has the potential to cause mental disorders, such as stress, anxiety, and depression?",Do you think that working from home prevents you from getting in contact with people?,Which work type keeps you focused while working?,Which work type do you prefer the most?
781,25–34,Male,Technology,0–2 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,Working in an office
782,55+,Female,Technology,11–20 years,Fully In-Office,No,No,Yes,Yes,Yes,Working from home,Working in an office,No,Working in an office,Working in an office
783,25–34,Male,Retail/Hospitality,20+ years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working in an office
784,35–44,Male,Healthcare,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
785,55+,Male,Technology,6–10 years,Fully In-Office,No,Yes,No,Yes,Yes,Working from home,Working from home,No,Working from home,Working in an office
786,25–34,Female,Retail/Hospitality,20+ years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
787,45–54,Male,Retail/Hospitality,20+ years,Hybrid,Yes,No,Yes,Yes,No,Working in an office,Working from home,Yes,Working from home,Working in an office
788,25–34,Female,Finance,0–2 years,Fully In-Office,No,Yes,Yes,No,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
789,45–54,Female,Other,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
790,35–44,Male,Education,11–20 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
791,25–34,Female,Government,3–5 years,Hybrid,Yes,Yes,Yes,No,Yes,Working in an office,Working in an office,Yes,Working from home,Working from home
792,25–34,Male,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,No,Working from home,Working in an office
793,25–34,Male,Retail/Hospitality,0–2 years,Fully Remote,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
794,18–24,Female,Other,3–5 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
795,18–24,Female,Government,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
796,25–34,Male,Finance,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
797,18–24,Female,Retail/Hospitality,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
798,25–34,Male,Healthcare,11–20 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
799,35–44,Female,Retail/Hospitality,6–10 years,Fully In-Office,No,Yes,No,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working in an office
800,35–44,Female,Government,3–5 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
801,35–44,Female,Other,0–2 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
802,25–34,Female,Education,3–5 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
803,45–54,Male,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
804,35–44,Female,Finance,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
805,18–24,Female,Technology,0–2 years,Fully In-Office,No,Yes,Yes,Yes,No,Working in an office,Working in an office,No,Working in an office,Working from home
806,25–34,Female,Healthcare,3–5 years,Fully In-Office,Yes,No,Yes,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
807,35–44,Male,Healthcare,11–20 years,Hybrid,Yes,No,Yes,No,Yes,Working from home,Working in an office,No,Working from home,A mixed mode of working
808,25–34,Male,Retail/Hospitality,11–20 years,Hybrid,No,Yes,Yes,Yes,Yes,Working in an office,Working from home,No,Working in an office,A mixed mode of working
809,35–44,Male,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
810,55+,Male,Technology,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
811,18–24,Male,Technology,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working from home
812,18–24,Male,Other,0–2 years,Fully In-Office,No,Yes,Yes,Yes,Yes,Working in an office,Working in an office,No,Working in an office,A mixed mode of working
813,55+,Female,Retail/Hospitality,6–10 years,Hybrid,Yes,Yes,Yes,No,No,Working from home,Working from home,Yes,Working in an office,Working in an office
814,35–44,Male,Technology,0–2 years,Fully In-Office,No,No,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
815,18–24,Female,Technology,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working from home
816,45–54,Female,Finance,6–10 years,Fully Remote,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
817,45–54,Female,Healthcare,6–10 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
818,35–44,Male,Finance,3–5 years,Hybrid,No,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
819,35–44,Female,Education,11–20 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
820,25–34,Female,Other,11–20 years,Hybrid,Yes,No,Yes,Yes,Yes,Working from home,Working in an office,No,Working from home,A mixed mode of working
821,18–24,Female,Healthcare,11–20 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
822,35–44,Female,Retail/Hospitality,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
823,25–34,Female,Technology,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
824,35–44,Female,Other,0–2 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
825,45–54,Female,Other,11–20 years,Hybrid,Yes,Yes,No,Yes,Yes,Working in an office,Working in an office,Yes,Working in an office,Working in an office
826,18–24,Male,Retail/Hospitality,6–10 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
827,35–44,Female,Education,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
828,25–34,Female,Technology,3–5 years,Hybrid,Yes,Yes,No,Yes,No,Working in an office,Working from home,No,Working from home,A mixed mode of working
829,45–54,Female,Government,20+ years,Fully In-Office,Yes,Yes,No,Yes,No,Working in an office,Working in an office,No,Working in an office,A mixed mode of working
830,25–34,Female,Retail/Hospitality,11–20 years,Fully In-Office,No,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
831,35–44,Male,Healthcare,6–10 years,Hybrid,No,No,No,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
832,35–44,Female,Education,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
833,25–34,Male,Education,6–10 years,Fully In-Office,Yes,Yes,No,No,No,Working from home,Working in an office,Yes,Working from home,Working in an office
834,35–44,Male,Government,6–10 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,Working from home
835,35–44,Male,Retail/Hospitality,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working in an office,No,Working in an office,A mixed mode of working
836,35–44,Male,Retail/Hospitality,6–10 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
837,45–54,Male,Retail/Hospitality,11–20 years,Fully Remote,Yes,Yes,Yes,No,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
838,55+,Male,Healthcare,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
839,25–34,Female,Education,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,A mixed mode of working
840,35–44,Female,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,Working from home
841,18–24,Male,Government,11–20 years,Fully In-Office,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,Working in an office
842,45–54,Female,Education,11–20 years,Hybrid,No,Yes,No,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
843,35–44,Male,Education,11–20 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
844,25–34,Female,Healthcare,6–10 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
845,18–24,Male,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working from home
846,45–54,Female,Finance,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,A mixed mode of working
847,25–34,Male,Healthcare,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
848,35–44,Female,Technology,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
849,25–34,Male,Government,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
850,55+,Female,Education,3–5 years,Fully In-Office,Yes,No,No,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
851,25–34,Male,Education,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
852,25–34,Female,Education,3–5 years,Fully In-Office,No,Yes,No,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working in an office
853,45–54,Female,Government,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
854,55+,Female,Healthcare,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working from home,A mixed mode of working
855,25–34,Female,Government,6–10 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,Working from home
856,35–44,Non-binary/Other,Other,3–5 years,Fully In-Office,Yes,No,Yes,No,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
857,35–44,Male,Retail/Hospitality,11–20 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
858,45–54,Male,Education,6–10 years,Hybrid,Yes,Yes,No,Yes,No,Working in an office,Working from home,No,Working in an office,Working in an office
859,25–34,Male,Retail/Hospitality,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working in an office
860,35–44,Male,Education,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,Working in an office
861,45–54,Female,Education,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,Working in an office
862,35–44,Non-binary/Other,Finance,0–2 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,No,Working from home,A mixed mode of working
863,45–54,Non-binary/Other,Healthcare,11–20 years,Fully Remote,Yes,Yes,Yes,No,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
864,35–44,Female,Technology,3–5 years,Fully In-Office,Yes,No,No,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
865,18–24,Female,Education,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,No,Working from home,A mixed mode of working
866,45–54,Female,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working from home
867,45–54,Female,Education,6–10 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
868,45–54,Male,Finance,3–5 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,Working from home
869,18–24,Female,Other,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working in an office
870,25–34,Female,Technology,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
871,45–54,Male,Retail/Hospitality,6–10 years,Hybrid,No,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working in an office
872,18–24,Male,Education,3–5 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
873,55+,Non-binary/Other,Technology,0–2 years,Fully In-Office,No,Yes,No,No,No,Working in an office,Working from home,No,Working from home,A mixed mode of working
874,25–34,Non-binary/Other,Healthcare,0–2 years,Hybrid,No,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
875,35–44,Female,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working from home,A mixed mode of working
876,45–54,Female,Technology,6–10 years,Hybrid,Yes,Yes,No,Yes,Yes,Working in an office,Working in an office,Yes,Working from home,A mixed mode of working
877,25–34,Male,Healthcare,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
878,25–34,Male,Education,20+ years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,Working in an office
879,35–44,Female,Finance,0–2 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
880,35–44,Female,Technology,6–10 years,Hybrid,Yes,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
881,25–34,Female,Technology,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
882,35–44,Female,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,No,Working from home,A mixed mode of working
883,55+,Male,Finance,11–20 years,Hybrid,No,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
884,35–44,Female,Healthcare,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
885,25–34,Male,Finance,20+ years,Fully In-Office,Yes,No,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
886,25–34,Male,Healthcare,0–2 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
887,25–34,Male,Technology,20+ years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,A mixed mode of working
888,18–24,Male,Other,11–20 years,Fully In-Office,No,Yes,No,No,No,Working from home,Working from home,Yes,Working in an office,Working in an office
889,25–34,Female,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,Working from home
890,35–44,Male,Technology,3–5 years,Fully In-Office,No,No,No,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working in an office
891,25–34,Male,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,Working from home
892,55+,Female,Other,11–20 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
893,25–34,Female,Finance,6–10 years,Hybrid,No,Yes,Yes,No,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
894,18–24,Male,Finance,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
895,45–54,Male,Other,20+ years,Fully In-Office,No,Yes,No,Yes,Yes,Working in an office,Working in an office,Yes,Working in an office,Working in an office
896,45–54,Male,Technology,11–20 years,Hybrid,No,No,No,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
897,25–34,Female,Other,3–5 years,Fully Remote,No,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
898,25–34,Male,Technology,6–10 years,Hybrid,No,Yes,Yes,Yes,Yes,Working in an office,Working from home,No,Working in an office,A mixed mode of working
899,25–34,Male,Retail/Hospitality,0–2 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
900,35–44,Male,Education,3–5 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
901,35–44,Female,Education,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working in an office,No,Working in an office,A mixed mode of working
902,25–34,Male,Other,11–20 years,Hybrid,No,Yes,Yes,No,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
903,18–24,Female,Technology,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
904,35–44,Male,Other,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working in an office
905,55+,Female,Education,6–10 years,Fully In-Office,No,No,No,No,No,Working from home,Working in an office,No,Working in an office,Working in an office
906,35–44,Male,Retail/Hospitality,11–20 years,Hybrid,Yes,No,No,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
907,35–44,Male,Other,11–20 years,Fully In-Office,Yes,Yes,No,Yes,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
908,18–24,Male,Technology,20+ years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working in an office
909,25–34,Female,Other,6–10 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
910,25–34,Female,Finance,11–20 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
911,45–54,Male,Retail/Hospitality,6–10 years,Fully Remote,Yes,Yes,No,No,No,Working from home,Working in an office,Yes,Working from home,Working in an office
912,45–54,Male,Technology,6–10 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
913,45–54,Female,Finance,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
914,55+,Female,Retail/Hospitality,6–10 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
915,55+,Male,Education,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,No,Working in an office,A mixed mode of working
916,55+,Male,Technology,3–5 years,Fully In-Office,Yes,Yes,No,Yes,No,Working in an office,Working in an office,No,Working in an office,A mixed mode of working
917,18–24,Female,Healthcare,6–10 years,Fully In-Office,No,No,No,Yes,Yes,Working from home,Working in an office,No,Working in an office,A mixed mode of working
918,18–24,Female,Other,6–10 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,Working from home
919,25–34,Female,Technology,11–20 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
920,35–44,Female,Retail/Hospitality,6–10 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
921,18–24,Female,Other,3–5 years,Hybrid,Yes,No,No,Yes,No,Working from home,Working in an office,No,Working from home,Working in an office
922,45–54,Male,Technology,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working from home
923,35–44,Male,Technology,3–5 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working from home
924,35–44,Male,Retail/Hospitality,20+ years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working in an office,No,Working in an office,Working from home
925,25–34,Male,Technology,3–5 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
926,25–34,Male,Finance,6–10 years,Hybrid,No,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
927,25–34,Male,Retail/Hospitality,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,Working in an office
928,45–54,Female,Finance,11–20 years,Hybrid,No,No,No,No,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
929,35–44,Male,Healthcare,0–2 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
930,35–44,Male,Retail/Hospitality,20+ years,Hybrid,No,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
931,25–34,Female,Finance,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
932,25–34,Female,Technology,6–10 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
933,25–34,Female,Finance,6–10 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
934,45–54,Female,Other,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working in an office
935,45–54,Female,Retail/Hospitality,6–10 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,A mixed mode of working
936,25–34,Male,Education,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,Working in an office
937,55+,Male,Healthcare,3–5 years,Hybrid,Yes,Yes,No,Yes,Yes,Working in an office,Working in an office,No,Working in an office,A mixed mode of working
938,18–24,Female,Technology,11–20 years,Fully In-Office,No,Yes,No,Yes,Yes,Working from home,Working from home,No,Working in an office,Working in an office
939,45–54,Male,Healthcare,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
940,18–24,Male,Technology,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
941,25–34,Male,Other,0–2 years,Fully In-Office,Yes,Yes,No,Yes,No,Working in an office,Working from home,No,Working in an office,A mixed mode of working
942,45–54,Male,Healthcare,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,Working from home
943,25–34,Male,Government,3–5 years,Hybrid,No,Yes,Yes,No,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
944,25–34,Male,Technology,6–10 years,Fully In-Office,Yes,No,No,No,Yes,Working in an office,Working from home,No,Working in an office,A mixed mode of working
945,25–34,Female,Healthcare,3–5 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
946,25–34,Female,Education,20+ years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
947,35–44,Male,Healthcare,3–5 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
948,45–54,Female,Government,0–2 years,Fully In-Office,No,Yes,Yes,Yes,No,Working in an office,Working from home,No,Working from home,Working in an office
949,45–54,Male,Other,20+ years,Hybrid,No,No,No,Yes,No,Working from home,Working from home,No,Working from home,Working from home
950,25–34,Female,Other,3–5 years,Fully In-Office,No,No,No,No,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
951,35–44,Female,Technology,6–10 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
952,25–34,Male,Government,20+ years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
953,25–34,Female,Technology,20+ years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working from home,Working from home
954,25–34,Non-binary/Other,Other,11–20 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
955,55+,Female,Finance,0–2 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
956,45–54,Non-binary/Other,Healthcare,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
957,45–54,Female,Technology,20+ years,Fully In-Office,No,No,No,No,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
958,35–44,Male,Technology,20+ years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
959,35–44,Female,Healthcare,0–2 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
960,35–44,Female,Other,6–10 years,Fully In-Office,No,No,No,No,Yes,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
961,35–44,Female,Government,3–5 years,Fully Remote,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
962,25–34,Male,Other,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
963,18–24,Female,Technology,11–20 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
964,18–24,Male,Finance,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
965,55+,Female,Healthcare,3–5 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working in an office
966,35–44,Male,Finance,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,Working from home
967,55+,Female,Healthcare,6–10 years,Hybrid,No,Yes,No,Yes,Yes,Working from home,Working from home,No,Working from home,Working in an office
968,25–34,Female,Healthcare,3–5 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,A mixed mode of working
969,35–44,Male,Finance,6–10 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
970,25–34,Female,Technology,3–5 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,A mixed mode of working
971,25–34,Male,Education,20+ years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
972,18–24,Female,Retail/Hospitality,3–5 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
973,18–24,Female,Technology,6–10 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
974,55+,Male,Other,3–5 years,Fully In-Office,No,Yes,Yes,No,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
975,25–34,Male,Finance,0–2 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
976,35–44,Male,Government,3–5 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,No,Working from home,A mixed mode of working
